sentence_1	sentence_2	score
Two white dogs are running together.	The white dog is running along the beach	0.6790086627006531
south korea launches new bullet train reaching 300 kph. 	French train derails south of Paris	0.4530595541000366
Sprinters Tyson Gay and Asafa Powell test positive for banned substance	Former New Mexico Gov Richardson pressing North Korean test ban	0.5561819076538086
Attacks in Iraq kill general and 4 others	A New iPad Is Coming	0.13718804717063904
the proliferation security initiative calls for stopping and searching ships suspected of carrying weapons of mass destruction. 	a jockey riding a horse.	0.0694909617304802
Crocodile victim's body recovered	Boeing's board is also expected to decide at its December meeting whether to offer the airplane for sale to airlines.	0.11566973477602005
He planned to stay all day until the river crested, which was forecast for late last night.	The trial which could last until early 2004 is expected to hear the first of 125 witnesses Friday	0.15252375602722168
Bodies of MH17 crash victims flown to Netherlands	Two puppies play with a red chew toy in a field.	0.059419773519039154
Two dogs are playing around in the dirt.	Two dogs are playing in the grass	0.7292234897613525
What the Papers Say, Nov. 20, 2013	Originally Posted by eleanor.ellis	0.3426172137260437
U.S. Sees No Conclusive Evidence of Chemical Arms Use by Syria	Originally Posted by JonD Doubtful	0.1924959272146225
Syrian rebel groups battle each other in north	EU to train Mali army to fight northern Islamist militants	0.5415396094322205
A man is swimming.	a clear plastic chair in front of book shelves.	0.06253334879875183
"I'm real excited to be a Cleveland Cavalier," James said.	Mr Hadley who has a new partner and child said I am absolutely delighted	0.14707979559898376
George Zimmerman Verdict Propels Cable News Into Talkradio Mode	Donna Summer, Queen of Disco, Dies at 63	0.13300420343875885
Keita Wins Mali Presidential Election	Afghan District Governor Defects To Taliban	0.07058366388082504
Hijacked aircraft lands in Geneva	Hijacker arrested after plane lands at Geneva Airport	0.7182547450065613
ingo kober stated that some nations had stronger intellectual property rights than others.	Delhi gang-rape verdict deferred again	0.10743369907140732
Thousands evacuated in Moscow metro fire	Thousands evacuated after fire breaks out in Moscow Metro	0.7169456481933594
Official of Malaysia Airlines briefs relatives of missing flight passengers about search progress	A passenger jet flies through the air	0.47284719347953796
US military officials say rotor wash from the helicopter might have blown down the banner.	US officials said downward rotor wash generated by the hovering helicopter stripped the flag from the tower	0.6932740807533264
neighboring kyrgyzstan has also experienced raids by taliban-backed islamic militants in recent years.	bombing occurred in afghanistan as attacks by antigovernment insurgents increase in recent days 	0.5894956588745117
------ ----------- What do we get in return for doing the fighting for them?	Syrian opposition in reconciliation talks	0.2345026731491089
On the other hand, if this will help further establish Steve's innocence, we welcome it."	GM slow on recalls, Congress record shows	0.21099279820919037
Pak army adamant on fighting the other Taleban	Iraq army fights to retake Tikrit	0.6508175730705261
Russia warns against setting preconditions for Syria	Israel exspy warns against messianic Iran war	0.694097101688385
Douglas Meester, 20, is charged with rape, sodomy, indecent assault, and providing alcohol to minors.	Mr Howard also said yesterday that Hicks would be fairly treated, saying he had faith in the US justice system.	0.11614620685577393
