sentence_1	sentence_2	score
Two white dogs are running together.	The white dog is running along the beach	0.6538246273994446
south korea launches new bullet train reaching 300 kph. 	French train derails south of Paris	0.4718506634235382
Sprinters Tyson Gay and Asafa Powell test positive for banned substance	Former New Mexico Gov Richardson pressing North Korean test ban	0.5475273132324219
Attacks in Iraq kill general and 4 others	A New iPad Is Coming	0
the proliferation security initiative calls for stopping and searching ships suspected of carrying weapons of mass destruction. 	a jockey riding a horse.	0.013203831389546394
Crocodile victim's body recovered	Boeing's board is also expected to decide at its December meeting whether to offer the airplane for sale to airlines.	0.0025824771728366613
He planned to stay all day until the river crested, which was forecast for late last night.	The trial which could last until early 2004 is expected to hear the first of 125 witnesses Friday	0.356465220451355
Bodies of MH17 crash victims flown to Netherlands	Two puppies play with a red chew toy in a field.	0.0014934148639440536
Two dogs are playing around in the dirt.	Two dogs are playing in the grass	0.7672604322433472
What the Papers Say, Nov. 20, 2013	Originally Posted by eleanor.ellis	0.03749135881662369
U.S. Sees No Conclusive Evidence of Chemical Arms Use by Syria	Originally Posted by JonD Doubtful	0.8157013058662415
Syrian rebel groups battle each other in north	EU to train Mali army to fight northern Islamist militants	0.45024874806404114
A man is swimming.	a clear plastic chair in front of book shelves.	0.06217598170042038
"I'm real excited to be a Cleveland Cavalier," James said.	Mr Hadley who has a new partner and child said I am absolutely delighted	0.3804018199443817
George Zimmerman Verdict Propels Cable News Into Talkradio Mode	Donna Summer, Queen of Disco, Dies at 63	0
Keita Wins Mali Presidential Election	Afghan District Governor Defects To Taliban	0
Hijacked aircraft lands in Geneva	Hijacker arrested after plane lands at Geneva Airport	0.6794827580451965
ingo kober stated that some nations had stronger intellectual property rights than others.	Delhi gang-rape verdict deferred again	0.0312618613243103
Thousands evacuated in Moscow metro fire	Thousands evacuated after fire breaks out in Moscow Metro	0.6598373651504517
Official of Malaysia Airlines briefs relatives of missing flight passengers about search progress	A passenger jet flies through the air	0.5021055936813354
US military officials say rotor wash from the helicopter might have blown down the banner.	US officials said downward rotor wash generated by the hovering helicopter stripped the flag from the tower	0.6997997164726257
neighboring kyrgyzstan has also experienced raids by taliban-backed islamic militants in recent years.	bombing occurred in afghanistan as attacks by antigovernment insurgents increase in recent days 	0.49758458137512207
------ ----------- What do we get in return for doing the fighting for them?	Syrian opposition in reconciliation talks	0.17482617497444153
On the other hand, if this will help further establish Steve's innocence, we welcome it."	GM slow on recalls, Congress record shows	0.10541589558124542
