score	sentence_1	sentence_2
1	If the extra equity for the project cannot be found, AustMag directors will have to abandon the project in order to avoid trading while the company is insolvent.	If the extra equity for the project cannot be found, AMC directors will have to abandon it to avoid trading while AMC is insolvent.
1	Then they moved inside the mosque and started firing on the people,'' he told the Associated Press.	Then they moved inside the mosque and started firing on the people.
1	The indictment charges that Mzoudi was involved in preparations for the attack until the end and was aware of and supported the attackers' violent goals.	Prosecutors say Mzoudi was involved in the preparations for the attack until the final moment and that he was aware of and supported the attackers' violent goals.
1	Four people were found shot to death along a highway Tuesday morning and three others were wounded in a possible dispute involving immigrant smuggling, officials said.	Four people were found shot to death along a highway Tuesday and four others were wounded in a dispute that apparently involved immigrant smugglers, officials said.
1	The comment period was to have expired on Monday.	A public comment period on the proposed new taxes will end on Monday.
1	They were among about 40 people attending the traditional Jewish ceremony colored by some non-traditional touches.	He said about 40 people attended the traditional Jewish ceremony colored by some nontraditional touches.
0	The technology-laced Nasdaq Composite Index .IXIC gained 21.35 points, or 1.33 percent, to 1,624.91.	The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.
1	The only other JI member to reveal similar information is Omar al Faruq, now held at a secret location by the United States.	The only other JI member to reveal similar information is Omar al Faruq, now held by the United States at a secret location.
0	Nterprise Linux Services is expected to be available before then end of this year.	Beta versions of Nterprise Linux Services are expected to be available on certain HP ProLiant servers in July.
1	But the company said that its competitors simply were trying to hinder MCI's emergence from bankruptcy.	But the company said over the weekend that its competitors were simply trying to throw up roadblocks to MCIs emergence from bankruptcy.
0	Marjorie Scardino, the chief executive, said: We have one headline.	Pearson, led by Marjorie Scardino, the chief executive, publishes its interim results this week.
0	Friends said Frank Riva worked in construction in Manhattan and recently helped his son get into the construction workers union.	Riva had recently helped his son, Frank Riva Jr., get into a construction workers' union and land a job.
1	Microsoft favors setting up independent e-mail trust authorities to establish and maintain commercial email guidelines, certify senders who follow the guidelines, and resolve customer disputes.	Gates says he wants to see independent e-mail trust authorities who establish and maintain commercial email guidelines, certify senders who follow the guidelines, and resolve customer disputes.
1	Investigators have meticulously looked into virtually every aspect of Campbell's personal and financial affairs, Campbell has acknowledged.	Investigators continue to probe virtually every aspect of Campbell's personal and financial affairs, the former mayor has said.
0	Judge Philpot told Dica: There is no evidence of your remorse.	A judge branded Mohammed Dica's behaviour despicable and added: There is no evidence of your remorse.
0	The dollar's slide against the yen was curbed by wariness that Japanese authorities could intervene to stem the yen's rise.	Despite hefty losses against the euro, the dollar's slide versus the yen was curbed by wariness that Japanese authorities could intervene to stem the yen's rise.
1	Because of the holiday period, the agency will not release data from the period since Dec. 27 until today.	Because of the holidays, CDC is not releasing data from the period since Dec. 27 until today.
0	For the year, Marvell expects revenue of $760 million to $790 million.	Marvell Technology also reported revenue of $168.3 million, exceeding the First Call estimate of $162.6 million.
1	PeopleSoft Inc.'s board of directors on Friday unanimously rejected Oracle Corp.'s revised bid of $19.50 per share.	PeopleSoft Inc.'s board of directors voted unanimously on Friday to recommend that stockholders reject Oracle's upgraded bid for a hostile takeover.
0	The pound also made progress against the dollar, reached fresh three-year highs at $1.6789.	The British pound flexed its muscle against the dollar, last up 1 percent at $1.6672.
1	About 1,557 genes on chromosome 6 are thought to be functional.	The remaining 1,557 genes are believed to be all functional.
0	Accordingly, there needs to be more on the horizon than simply winning a war against terrorism.	There must be more on the horizon than simply winning a war against terrorism, namely, a promise of a better and fairer world.
0	The mother of a Briton held by Colombian guerrillasspoke of her relief yesterday after hearing that he might be freed in the next few weeks.	The parents of a Briton being held hostage by Colombian rebels spoke yesterday of their optimism that he would be freed in time for his birthday next month.
1	All those infected had recent close contact with prairie dogs.	One of those infected reported having recent contact with exotic animals there.
0	Nursing schools turned away more than 5,000 qualified applicants in the past year because of shortages of faculty and classroom space.	The American Association of Nursing Colleges reported that schools turned away more than 5,000 qualified applicants last year.
1	Researchers have identified roughly 130 genes on chromosome six that may predispose humans to certain diseases.	Beck and his team have identified roughly 130 genes that somehow cause or predispose humans to certain diseases.
1	Prince William County prosecutors told a judge yesterday they now want the trial of sniper suspect John Allen Muhammad moved out of the area.	Prosecutors reversed course Friday and said they support moving the murder trial of sniper suspect John Allen Muhammad out of the Washington suburbs.
0	The technology-laced Nasdaq Composite Index <.IXIC> added 1.92 points, or 0.12 percent, at 1,647.94.	The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646.
1	My view is these al-Qaeda terrorists - and I believe it was al-Qaeda - would prefer to have many such events.	My view is that these Al Qaeda terrorists -- and I believe it was Al Qaeda -- would prefer to have many such events.
