sentence_1	sentence_2	score
The FTC has asked the court to suspend its decision while the agency appeals.	Frank Quattrone is innocent, Keker said in a statement.	0
Both Mr Blair and Foreign Secretary Jack Straw have denied that Britain had reneged on plans to involve the UN in the reconstruction of Iraq.	Mr Estrada has denied any involvement in the plot	1
The Smyrna Nissan plant was recently named the most productive automotive manufacturing site in North America, said Kisber.	Nissan North America Inc said Wednesday it was moving production of the Pathfinder sport utility vehicle to Tennessee adding 800 jobs	0
Arguing that the case was an isolated example, Canada has threatened a trade backlash if Tokyo's ban is not justified on scientific grounds.	The Fox Movie Channel has banned Charlie Chan	0
They often complain about misconduct, John Goold, chief deputy district attorney for Stanislaus County said.	He would often call me for advice said Ronald L Kuby a friend and wellknown lawyer who had represented him in the harassment case	0
With Internet usage and broadband adoption continuing to escalate, Stuart says, marketers are throwing their weight and dollars behind interactive advertising.	It will also boost SuSEs sales reach worldwide and enhance HPs Linux business they said	0
Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.	Now she has her first trophy after victory in the US Womens Amateur Public Links here on Sunday	0
His protest triggered a 47-hour standoff with police that led to huge traffic jams as commuters backed up in downtown Washington and Northern Virginia.	In the clash with police Lt Mothana Ali said about 1000 demonstrators had gone to the station demanding jobs	0
Spengler replied, Didn't your mother die of breast cancer?	She said she told ODonnell Your mother died of breast cancer	1
U.S. same-store sales last months at Tim Hortons rose 8.8 per cent.	In Canada Tim Hortons samestore sales were up as much as 67 per cent	0
His progress is steady, he's stable, he's comfortable, Jack said Tuesday afternoon.	It decided instead to issue them before the stock market opened Monday after the downgrade of its debt late Friday by Moody's, the credit rating agency.	0
Auditors acknowledged the auditors did not look at priests' personnel files.	Law enforcement officials confirmed that Limbaugh was being investigated by the Palm Beach County Fla state attorneys office	0
Many of the affected countries, such as Colombia and Ecuador, are considered critical to the administration's efforts to bring stability to this hemisphere.	Many of the countries affected like Colombia and Ecuador are considered critical to the administrations efforts to bring stability to the Western Hemisphere	1
Avery Dennison said it now expects a second-quarter profit of 68 cents to 72 cents a share, down from its prior outlook of 77 cents to 82 cents.	The company said it now expects secondquarter earnings of 68 cents and 72 cents a share down from its prior outlook of 77 cents to 82 cents	1
SCO net income of $4.5 million, or 33 cents per share, on revenue of $21.4 million, in 2003's second fiscal quarter, ended April 30.	That compares to a net loss of 66 million or 47 cents per share on revenue of 155 million in 2002s second fiscal quarter	0
The chain operates more than 3,400 stores, and has annual revenue of about $15.8 billion.	His movies include Malcolm X, Summer of Sam, Jungle Fever and Do the Right Thing.	0
Sweeney said he would formally announce the formation of the new union on Wednesday in Detroit.	It was never our intention to sell the product, said Health Minister Anne McClellan, a skeptic of medical marijuana use.	0
Microsoft released Windows Rights Management Client 1.0, the first software client, for free download earlier this week.	That client component the Microsoft Windows Rights Management Client 10 is what Microsoft posted for free download Tuesday	0
But Amrozi did not reveal and was not asked the company's or his boss's name.	Over 10 years, I'd say I've come out pretty close to even, he said.	0
Last year, he was forced to repay $3,000 in bar tabs that he and his staff incurred while he was labour minister but had originally billed to taxpayers.	This will be a marathon, not a sprint, said Jimmy D. Staton, senior vice president of operations at Dominion Virginia Power.	0
Reed arrived a day after H. Carl McCall, co-chairman of the exchange's special committee on governance, resigned saying Reed should have a clean slate to make changes.	H Carl McCall cochairman of the exchanges special committee on governance resigned Thursday saying Reed should start with a clean slate	1
The tech-heavy Nasdaq Stock Markets composite index added 14.17 points or 0.94 per cent to 1,517.05.	Charlie Chan is off the case for the Fox Movie Channel.	0
Two-year-old Egyptian twin boys, born with their heads conjoined, have been separated after 26 hours of surgery at the Children's Medical Centre in Dallas.	After 26 hours of surgery and a year of anticipation the boys were separated Sunday at Childrens Medical Center of Dallas	1
Accusations of improper activity are as false today as when the Democrats first made them.	He characterized the hostile bid as atrociously bad behavior from a company with a history of atrociously bad behavior	0
State Sen. Vi Simpson, former state and national Democratic chairman Joe Andrew are seeking the Democratic nomination.	No country seems likely to oppose proposals for a longterm European Council president replacing the current rotating presidency as well as an EU foreign minister	0
The case puts the Supreme Court back into the debate over the separation of church and state.	After more than two years in detention by the State Security Bureau, the four were found guilty last Wednesday of subversion.	0
A DoD team is on site to determine how this happened and what needs to be done to fix the breach, the release stated.	A DOD team is working to determine how hackers gained access to the system and what needs to be done to fix the breach	1
Thyroid hormones are known to help in weight loss by stimulating metabolism, and they can help cut cholesterol too.	SEC Chairman William Donaldson said there is a building confidence out there that the cop is on the beat.	0
Connolly said FBI agents in San Diego and abroad spent thousands of hours investigating al-Bayoumi.	Federal agents said Friday they are investigating the thefts of 1100 pounds of an explosive chemical from construction companies in Colorado and California in the past week	0
The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.	The DVD-CCA then appealed to the state Supreme Court.	0
Prosecutors said PW Marketing violated the state's 1998 anti-spam law by sending unsolicited e-mail without a toll-free number for recipients to call to stop additional mailings.	Xerox itself previously paid a $10-million penalty to settle the SEC accusations.	0
A Competition Commission inquiry last month has already excluded larger rivals Tesco, Asda and J Sainsbury from the bid race.	He added that genes on the Y might play a role in influencing gender-specific differences in disease susceptibility.	0
They were brutally beaten, and it's really a wonder that Porchia is the only deceased in this case.	Its a wonder that Porchia was the only deceased in this case Sax added	1
Two years later, the insurance coverage would begin.	I conclude that plaintiffs have shown, albeit barely ... that Iraq provided material support to Bin Laden and Al Qaeda, Baer said.	0
Senate passage of the Medicare bill is almost certain Monday.	Senate passage of the Medicare bill was almost certain possibly as early as today	1
It's going to happen, said Jim Santangelo, president of the Teamsters Joint Council 42 in El Monte.	This deal makes good sense for both companies said Brian L Halla Nationals chairman president and CEO	0
The board is investigating whether a shortage of funds in the shuttle program compromised safety.	In the 1990s the board found budget cuts and tradeoffs ate away at the shuttle programs safety margins	0
Other nations involved in the PSI include Germany, Italy, the Netherlands, Poland, Portugal, Spain and Britain.	They include French President Jacques Chirac and German Chancellor Gerhard Schroeder	1
A number below 50 suggests contraction in the manufacturing sector, while a number above that indicates expansion.	A reading above 50 suggests growth in the sector while a number below that level indicates contraction	1
The worst-affected area was South Kyongsang province where at least 15 people drowned and roads were swept away.	Fires in Spains Extramadura region bordering Portugal and Avila province forced hundreds of people to leave their homes	0
In the first half of this year, the company lost $56.7 million.	In the second quarter last year the company experienced a net loss of 185 million or 54 cents a share on sales of 600 million	0
As you know, East Africa has been an area of terrorist threats and indeed terrorist attacks in the past.	Broomhead was assigned to 2nd Squadron, 3rd Armor Cavalry Regiment, based at Fort Carson.	0
Already large swells and dangerous surf have arrived along the mid-Atlantic.	It has been named Colymbosathon ecplecticos which means astounding swimmer with a large penis	0
Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.	As executive vice president of new ventures Elias will report to Joe Tucci EMCs president and chief executive	0
She concludes that what her husband did was morally wrong but not a betrayal of the public.	Mrs Clinton said her husband actions were morally wrong but did not constitute a public betrayal	1
Elsewhere in Europe, Philips was up 4.6 percent after raising its targets for chip sales on Friday.	The SIA said chip sales were expect to rise 168 percent to 1809bn next year followed by a 58 in 2005	0
He added: ``I've never heard of more reprehensiblebehaviour by a doctor.	The Harrisons’ lawyer Paul LiCalsi said “I’ve never heard of more reprehensible behaviour by a doctor	1
French soldiers later threatened to open fire on a Hema battlewagon that tried to pass near the UN compound.	After the French threatened to open fire the battlewagon turned back	1
Mr. Carter, who won the Nobel Peace Prize last year, met here today with Japan's prime minister, Junichiro Koizumi.	In papers filed Tuesday in Manhattan's state Supreme Court, Lee asked for an injunction against Viacom's use of the name Spike for TNN.	0
Only about one-third of parents of sexually experienced 14-year-olds know that their child has had sex, the report says.	In the opinion Kline noted that it is illegal for children that young to have sexual relations	0
The vendor has added 100 new third-party systems and 100 new components to the operating system's Hardware Compatibility List (HCL).	Sun Microsystems Inc on Thursday said it had added 100 new thirdparty systems and 100 new components to its Hardware Compatibility List for the Solaris x86 operating system Platform Edition	1
It will cost about $20,000 per average course of treatment -16 to 17 weeks.	Some 16 billion shares traded on the Big Board a 17 percent increase over the threemonth daily average	0
But PeopleSoft said the new deal should add to its 2004 earnings, excluding amortization and other items.	I'm taking his office, and we're gonna keep on building,'' he vowed. 	0
In the evening, he asked for six pepperoni pizzas and two six-packs of soft drinks, which officers delivered.	Even the pizza man took part delivering a flier with the missing girls picture along with the pizza and a twoliter bottle of Pepsi to Cruzs house	0
Sir Richard was speaking after a meeting in London with Australian Tourism Minister Joe Hockey.	The flamboyant entrepreneur flagged the plan after a meeting in London with Australian Tourism Minister Joe Hockey	1
We are starting the epidemic with more cases and more areas affected than last year.	It indicates we are starting the epidemic with more cases than last year Gerberding said	1
The long-running newsmagazine Dateline NBC has been cut from three to two airings per week, losing its Tuesday berth.	Manuel and his group entered the US the same way thousands of people do every day, by walking across the bridge between Matamoros and Brownsville.	0
The only other JI member to reveal similar information is Omar al Faruq, now held by the United States at a secret location.	Mr Stevens has also told his officers that information from British intelligence indicates there are more al Qaeda agents in Britain than previously thought	0
With the purge, Siebel will have cut 2,400 employees - or nearly one-third of its workforce - since the end of 2001.	Siebel whose fortunes soared with the tech boom has cut nearly onethird of its workforce since the end of 2001	0
I think it's obvious I'm not riding as well as I have in years past.	Its obvious Im not riding as well as years past Armstrong said at a news conference	1
He added: ``I've never heard of more reprehensiblebehaviour by a doctor.	The Congress of the United States has never — ever — outlawed a medical procedure said Rep Louise McIntosh Slaughter DNY	0
